name,rating,genre,release_date,actor,overview
Enchanted,68.12,"Comedy, Family, Fantasy, Romance",2007,Amy Adams,"
The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?
"
Annabelle: Creation,65.98,"Horror, Mystery, Thriller",2017,Stephanie Sigman,"
Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.
"
Frivolous Lola,49.82,"Comedy, Romance",1998,Anna Ammirati,"
The story takes place in northern Italy in the 1950's. Lola and Masetto are about to get married. Masetto wants to keep Lola as a virgin until they are married. But Lola is impatient to remain in chastity until the wedding night. She wants to be sure that Masetto is a good lover, before she commits herself into marriage. She does everything to trick Masetto into breaking the moral tradition.
"
Cold Eyes,74.74000000000001,"Adventure, Crime, Action, Thriller",2013,Jung Woo-sung,"
Ha Yoon-ju becomes the newest member of a unit within the Korean Police Forces Special Crime Department that specializes in surveillance activities on high-profile criminals. She teams up with Hwang Sang-jun, the veteran leader of the unit, and tries to track down James who is the cold-hearted leader of an armed criminal organization.
"
The Road to El Dorado,72.45,"Family, Adventure, Animation, Comedy, Fantasy",2000,Kenneth Branagh,"
After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?
"
The Croods,69.15,"Animation, Adventure, Family, Fantasy, Comedy, Action",2013,Nicolas Cage,"
The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.
"
The Aristocats,72.91,"Animation, Comedy, Family, Adventure",1970,Phil Harris,"
When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.
"
Undisputed II: Last Man Standing,73.44,"Action, Crime, Thriller",2006,Michael Jai White,"
Heavyweight Champ George ""Iceman"" Chambers is sent to a Russian jail on trumped-up drug charges. In order to win his freedom he must fight against the jailhouse fighting champ Uri Boyka in a battle to the death. This time he is not fighting for a title, he is fighting for his life!
"
Five Feet Apart,82.82,"Romance, Drama",2019,Haley Lu Richardson,"
Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.
"
London Has Fallen,61.83,"Action, Thriller",2016,Gerard Butler,"
In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.
"
Nacho Libre,63.75,"Comedy, Family",2006,Jack Black,"
Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed.
"
Super Monsters: Santa's Super Monster Helpers,75.0,"Animation,",2020,Asia Mattu,"
When Santa needs serious help prepping all of his presents, the Super Monsters lend a hand - and some monster magic - to get every gift out on time.
"
The Social Network,73.63000000000001,Drama,2010,Jesse Eisenberg,"
In 2003, Harvard undergrad and computer genius Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, he is one of the youngest billionaires ever, but Zuckerberg finds that his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.
"
Pitch Perfect 2,69.0,"Comedy, Music",2015,Anna Kendrick,"
The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.
"
Lady and the Tramp,71.05000000000001,"Family, Animation, Romance",1955,Barbara Luddy,"
Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.
"
Knowing,61.85,"Action, Mystery, Science Fiction, Thriller",2009,Nicolas Cage,"
A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.
"
The Best Man,62.07,"Action, Thriller",2023,Brendan Fehr,"
Mercenaries seize control of a remote resort hotel during a wedding and it's up to the best man, the groom and their drunken best friend to stop the terrorists and save the hostages.
"
Dumb Money,67.0,"Comedy, Drama, History",2023,Paul Dano,"
Vlogger Keith Gill sinks his life savings into GameStop stock and posts about it. When social media starts blowing up, so do his life and the lives of everyone following him. As a stock tip becomes a movement, everyone gets rich—until the billionaires fight back, and both sides find their worlds turned upside down.
"
The SpongeBob Movie: Sponge Out of Water,60.64,"Family, Adventure, Comedy, Fantasy, Animation",2015,Tom Kenny,"
Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.
"
Blood & Gold,66.46,"Action, Drama, War",2023,Robert Maaser,"
At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.
"
Taxi Driver,81.53999999999999,"Crime, Drama",1976,Robert De Niro,"
A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.
"
AKA,68.89999999999999,Action,2023,Alban Lenoir,"
A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss' young son.
"
The Fabelmans,77.12,"Drama, Comedy",2022,Gabriel LaBelle,"
Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.
"
